"","threshold","prevalence","ntaxa","fraction","false_negatives","false_positives","pos_to_neg_ratio"
"1",0,0.1,770,0.998722588591531,0.199510113780025,37.9286504424779,190.108910891089
"2",0,0.2,718,0.991731063926413,0.922487357774968,37.6698798988622,40.8351177730193
"3",0,0.3,642,0.966498282576554,2.4790613147914,36.786899494311,14.8390438247012
"4",0,0.4,593,0.946551376766728,3.68402338811631,35.8130530973451,9.72117962466488
"5",0,0.5,528,0.902137668263463,5.35911820480405,33.7290613147914,6.29377073350534
"6",0,0.6,460,0.873240136034448,7.39965233881163,30.9734513274336,4.18579818473038
"7",0,0.7,372,0.813289542875904,9.86291087231353,26.2108881163085,2.65752052874024
"8",0,0.8,223,0.641689799264091,14.4733723135272,16.715391908976,1.15490651016787
"9",0,0.9,101,0.369833753566082,18.9890170670038,8.085097977244,0.425777592843025
"10",0,1,0,0,22.9278603034134,0,0
"11",5,0.1,651,0.982968694206027,1.40249683944374,31.963100505689,22.7901408450704
"12",5,0.2,454,0.949444809309196,4.68947534766119,22.8409450063211,4.87068239258635
"13",5,0.3,307,0.901718035043952,8.47226611883692,15.5677149178255,1.83749125670319
"14",5,0.4,218,0.857682441203758,11.5380056890013,11.2871365360303,0.978257147748673
"15",5,0.5,154,0.685220673252183,14.1494152970923,7.98633059418458,0.56442831215971
"16",5,0.6,104,0.597443978470683,16.7015644753477,5.53492414664981,0.331401537551745
"17",5,0.7,67,0.49211892102017,18.5169089759798,3.3126580278129,0.178899082568807
"18",5,0.8,21,0.351586128887988,21.1065897597977,0.730878634639697,0.0346279831539541
"19",5,0.9,8,0.231679425686641,22.210809102402,0.282474715549937,0.0127178939879047
"20",5,1,0,0,22.9278603034134,0,0
"21",10,0.1,638,0.982285463757994,1.54274652338812,30.904314159292,20.0320102432778
"22",10,0.2,427,0.946952770576038,5.11615044247788,20.7233723135272,4.05057915057915
"23",10,0.3,277,0.896619663906444,9.09054993678888,13.1735935524652,1.44915254237288
"24",10,0.4,192,0.836982092439033,12.0338179519595,9.07079646017699,0.753775443204202
"25",10,0.5,126,0.6657700686195,15.0640012642225,5.80752212389381,0.38552321007081
"26",10,0.6,78,0.591938243289405,17.4245417193426,3.20401390644754,0.183879378755243
"27",10,0.7,46,0.484762220707321,19.022597977244,1.32940897597977,0.0698857736240914
"28",10,0.8,18,0.350897009152286,21.1974557522124,0.452354614412137,0.0213400428664617
"29",10,0.9,7,0.231420574911144,22.2345132743363,0.179756637168142,0.00808457711442786
"30",10,1,0,0,22.9278603034134,0,0
"31",15,0.1,626,0.982007245877752,1.70867572692794,30.1121997471555,17.6231213872832
"32",15,0.2,406,0.944857191873537,5.42825537294564,19.0680309734513,3.5127365356623
"33",15,0.3,261,0.894905693501895,9.36907395701644,11.7789981036662,1.25722116803711
"34",15,0.4,164,0.826028170234512,12.8496365360303,6.81297408343868,0.530207532667179
"35",15,0.5,104,0.662430887611903,15.4551201011378,3.56155183312263,0.230444785276074
"36",15,0.6,62,0.586780312295696,17.8156605562579,1.71262642225032,0.0961303913959419
"37",15,0.7,42,0.479822176203426,19.2556890012642,1.10619469026549,0.0574476815757078
"38",15,0.8,14,0.339829430564768,21.4779551201011,0.239017067003793,0.0111284833992458
"39",15,0.9,7,0.231420574911144,22.2345132743363,0.179756637168142,0.00808457711442786
"40",15,1,0,0,22.9278603034134,0,0
"41",20,0.1,618,0.980382113348186,1.82719658659924,29.519595448799,16.1556756756757
"42",20,0.2,386,0.941610179967874,5.75616308470291,17.3633059418458,3.01647220315717
"43",20,0.3,236,0.890828378050314,9.90439317319848,9.50932364096081,0.960111687275628
"44",20,0.4,145,0.821321329123621,13.3395227560051,5.08454487989886,0.381163927143492
"45",20,0.5,96,0.65952388746127,15.6941371681416,2.86622945638432,0.182630585273757
"46",20,0.6,61,0.584164856203241,17.86899494311,1.64348925410872,0.0919743533053283
"47",20,0.7,41,0.477802293817085,19.3248261694058,1.05483565107459,0.0545844832873352
"48",20,0.8,14,0.339829430564768,21.4779551201011,0.239017067003793,0.0111284833992458
"49",20,0.9,6,0.212652691570083,22.3056257901391,0.126422250316056,0.00566772936592278
"50",20,1,0,0,22.9278603034134,0,0
"51",25,0.1,607,0.977571232242055,1.96349557522124,28.5872313527181,14.5593561368209
"52",25,0.2,379,0.941155250692354,5.90036346396966,16.8398388116308,2.85403414797456
"53",25,0.3,215,0.887533211159128,10.4989728192162,7.85398230088496,0.748071495766698
"54",25,0.4,141,0.820755310091572,13.4027338811631,4.69145069532238,0.350036845983788
"55",25,0.5,92,0.657309089530809,15.897597977244,2.59955752212389,0.16351888667992
"56",25,0.6,59,0.571520221016036,17.9262800252844,1.51904235145386,0.0847382920110193
"57",25,0.7,40,0.477637429605755,19.3386536030341,0.942240834386852,0.0487231869254341
"58",25,0.8,14,0.339829430564768,21.4779551201011,0.239017067003793,0.0111284833992458
"59",25,0.9,6,0.212652691570083,22.3056257901391,0.126422250316056,0.00566772936592278
"60",25,1,0,0,22.9278603034134,0,0
"61",30,0.1,603,0.977220472748986,2.02275600505689,28.229693426043,13.9560546875
"62",30,0.2,362,0.938346361984147,6.18086283185841,15.1765960809102,2.45541706615532
"63",30,0.3,209,0.887035152920204,10.6155183312263,7.37594816687737,0.694826944547823
"64",30,0.4,138,0.820022656239209,13.5015012642225,4.42872945638432,0.328017556693489
"65",30,0.5,88,0.652675427683682,16.0635271807838,2.28745259165613,0.142400393507132
"66",30,0.6,59,0.571520221016036,17.9262800252844,1.51904235145386,0.0847382920110193
