"","Var1","Freq"
"97","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellabuccae",2
"105","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellaintermedia",2
"108","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellamaculosa",2
"147","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidesgordonii",2
"148","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidesjohnsonii",2
"167","Bacteria_Bacteroidetes_Bacteroidia_Marinilabiliales_Marinilabiliaceae_Alkalitalea_Alkalitaleasaponilacus_UnclassifiedAlkalitaleasaponilacusstrain",2
"171","Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus_Staphylococcusaureus_UnclassifiedStaphylococcusaureusstrain",2
"179","Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Trichococcus_Trichococcuspalustris_UnclassifiedTrichococcuspalustrisstrain",2
"180","Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_Enterococcusfaecalis",2
"184","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusagilis_UnclassifiedLactobacillusagilisstrain",2
"204","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusjohnsonii",2
"217","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusreuteri",2
"218","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusreuteri_UnclassifiedLactobacillusreuteristrain",2
"219","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusrhamnosus",2
"220","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusrhamnosus_UnclassifiedLactobacillusrhamnosusstrain",2
"221","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillussakei_UnclassifiedLactobacillussakeistrain",2
"225","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Pediococcus_Pediococcusdamnosus_UnclassifiedPediococcusdamnosusstrain",2
"228","Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcuspneumoniae_UnclassifiedStreptococcuspneumoniaestrain",2
"229","Bacteria_Firmicutes_Clostridia_Clostridiales_Christensenellaceae_Christensenella_Christensenellaminuta_UnclassifiedChristensenellaminutastrain",2
"231","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Butyricicoccus_Butyricicoccuspullicaecorum",2
"241","Bacteria_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_Eubacteriumruminantium_UnclassifiedEubacteriumruminantiumstrain",2
"243","Bacteria_Firmicutes_Clostridia_Clostridiales_Flavonifractor_Flavonifractorplautii",2
"245","Bacteria_Firmicutes_Clostridia_Clostridiales_Intestinimonas_Intestinimonasbutyriciproducens_UnclassifiedIntestinimonasbutyriciproducensstrain",2
"280","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautiawexlerae",2
"284","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriohungatei",2
"285","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriohungatei_UnclassifiedButyrivibriohungateistrain",2
"320","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_Dorealongicatena",2
"331","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_Lachnobacteriumbovis",2
"334","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]aminophilum_Unclassified[Clostridium]aminophilumstrain",2
"338","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]citroniae",2
"356","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium_UnclassifiedLachnospiraceaebacteriumstrain",2
"419","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Oribacterium_Oribacteriumsp_oraltaxon078",2
"421","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Pseudobutyrivibrio_Pseudobutyrivibrioruminis",2
"463","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminiclostridium_[Clostridium]clariflavum",2
"467","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminiclostridium_[Clostridium]stercorarium",2
"471","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminiclostridium_Ruminiclostridiumthermocellum",2
"481","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_Ruminococcusalbus",2
"482","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_Ruminococcusalbus_UnclassifiedRuminococcusalbusstrain",2
"487","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_Ruminococcuslactaris",2
"501","Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Erysipelothrix_Erysipelothrixrhusiopathiae",2
"509","Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Kandleria_Kandleriavitulina",2
"522","Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Lawsonia_Lawsoniaintracellularis",2
"1","Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Atopobiaceae_Olsenella_Olsenellasp_Marseille-P2912_UnclassifiedOlsenellasp_Marseille-P2912strain",1
"2","Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_Collinsellabouchesdurhonensis_UnclassifiedCollinsellabouchesdurhonensisstrain",1
"3","Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_Collinsellasp_TF06-26_UnclassifiedCollinsellasp_TF06-26strain",1
