,glycan,mean_Chickpea,mean_Green_banana,mean_Lentil,mean_MDCF_2,mean_Milk_powder,mean_Peanut,mean_Rice,mean_RUSF,mean_Soybean,SD_Chickpea,SD_Green_banana,SD_Lentil,SD_MDCF_2,SD_Milk_powder,SD_Peanut,SD_Rice,SD_RUSF,SD_Soybean,log2MDCF2_RUSF,p,p.adj,p.format,p.signif,method,order,
46,T-P-Arabinose,32378.46904,19715.67626,22526.09183,48520.70136,7889.806635,10428.85057,5907.571833,35078.97619,27724.96642,41384.1077,21859.12959,37079.48928,51753.58372,11675.99694,8272.896906,6723.011057,60302.45728,31671.95331,0.467993763,0.746916441,0.83,0.7469,ns,T-test,21,
16,3-Arabinose,15957.35546,14100.41415,14464.63631,20769.57354,20104.59991,12306.46237,1976.442139,11345.19019,30364.12431,4214.38326,17019.1623,8614.455473,6042.860933,10316.69203,2355.362036,359.5455175,2832.506674,2674.545195,0.8723908,0.044320036,0.17,0.0443,*,T-test,22,
45,T-Mannose,107644.2102,31973.81107,116135.6392,574111.3222,54268.46921,82137.25177,26263.26107,234042.3717,232351.0449,32246.1608,29000.90596,54983.39406,226303.8171,12810.29702,16798.77755,9243.173835,44638.45444,86775.28707,1.294560765,0.054761852,0.18,0.0548,ns,T-test,23,
13,"2,5-F-Arabinose",4930.14299,2126.624194,2808.890795,2749.116522,428.5903627,1727.289428,355.1112419,1734.206053,4589.066715,1206.151443,2896.438838,1265.562923,603.917664,231.487108,555.6027121,113.2796357,836.3011828,1636.974283,0.664692732,0.101398488,0.25,0.1014,ns,T-test,24,
19,"3,4-Galactose",9312.014949,2296.047656,7460.770094,8092.088688,9850.355856,4692.996154,1532.54134,4994.388474,32449.98897,3689.989628,2081.650177,7898.702754,5544.336336,1071.32327,991.8692177,1085.706118,3268.660216,6945.429553,0.69620409,0.381156312,0.55,0.3812,ns,T-test,25,
30,4-Rhamnose,6487.665394,4643.97223,4393.300731,5577.426024,724.7539989,2227.38603,1749.875609,3433.442823,8237.051423,7184.165382,2980.893551,2966.059259,2793.758967,1195.224955,1371.919195,3002.120595,4593.932,9453.232228,0.699943535,0.461669193,0.61,0.4617,ns,T-test,26,
2,2-Galactose,202455.4987,62680.1734,119951.1831,176666.6453,1490856.247,90455.16784,33990.10818,293770.778,192715.435,44003.1304,42218.94664,23384.40705,58061.73284,671005.3851,25196.82121,26331.67126,99637.20212,18992.75219,-0.733661211,0.100023945,0.25,0.1,ns,T-test,27,
36,6-Glucose,95270.31374,6288.435537,201021.9531,112886.3487,7640.093973,19254.11964,13092.36473,61201.95569,242647.8448,48069.04654,4291.183,67901.35032,25432.34001,5007.488362,5042.452671,1754.669122,27234.53627,70750.55244,0.883221373,0.032407628,0.15,0.0324,*,T-test,28,
28,4-Mannose,358627.3102,280994.132,226690.2669,385729.0391,1491562.207,196877.9246,171606.211,313708.4029,590250.1615,52248.48959,215710.4432,136232.585,59854.30333,552164.4923,42128.59673,51436.28611,47278.6563,53145.23141,0.298163588,0.110493835,0.25,0.1105,ns,T-test,29,
9,"2,4-Glucose",32186.02299,7003.890696,22348.97856,12757.82502,7807.64944,7131.241885,18314.91092,19192.50894,8825.275465,14825.32668,6610.473412,5266.502335,4079.75998,4762.631632,2908.604902,14055.61348,9372.925155,6097.386852,-0.589160923,0.275002365,0.46,0.275,ns,T-test,30,
4,2-Mannose,13891.82469,942.0429809,6273.489932,7795.972746,8375.033172,1321.817988,644.2834699,3641.860955,25793.07872,6227.088968,333.0901095,2536.361995,5041.411788,6398.924982,694.2684669,310.0061521,855.3240032,12313.73229,1.098053205,0.197734145,0.4,0.1977,ns,T-test,31,
7,"2,3-F-Arabinose",27368.54744,3960.104054,33159.61459,14868.28838,1439.200943,12445.73879,765.9160462,9906.770276,51864.73187,5835.918177,4185.276679,17049.0787,6667.219361,504.4661649,1470.659113,254.1311192,3936.875804,3717.333596,0.585751872,0.257664648,0.46,0.2577,ns,T-test,32,
